구분,기업명(*1),채권 등(*2),채무 등(*3)
종속기업,삼성디스플레이㈜,"8,791","110,590"
"Samsung Electronics America, Inc. (SEA)","4,386,729","109,808",
"Samsung Electronics Vietnam THAINGUYEN Co., Ltd. (SEVT)","573,990","1,475,012",
"Samsung (CHINA) Investment Co., Ltd. (SCIC)","114,209","63,247",
Harman과 그 종속기업(*4),-,"11,649",
"Samsung (China) Semiconductor Co., Ltd. (SCS)","58,124","503,142",
"Samsung Electronics Vietnam Co., Ltd. (SEV)","479,330","1,642,273",
Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),348,-,
"Samsung Semiconductor, Inc. (SSI)","3,904,314","119,569",
Samsung Asia Pte. Ltd. (SAPL),"92,692","38,434",
"Shanghai Samsung Semiconductor Co., Ltd. (SSS)","3,310,319",202,
"Samsung Display Vietnam Co., Ltd. (SDV)","118,106",-,
Samsung Austin Semiconductor LLC. (SAS),"6,634","297,169",
Samsung Eletronica da Amazonia Ltda. (SEDA),"368,591",938,
Samsung India Electronics Private Ltd. (SIEL),"825,400","283,091",
"Thai Samsung Electronics Co., Ltd. (TSE)","76,754","219,580",
Samsung Electronics (UK) Ltd. (SEUK),"250,169","27,984",
Samsung Electronics GmbH (SEG),"674,888","1,999",
"Samsung Electronics HCMC CE Complex Co., Ltd. (SEHC)","127,677","502,978",
Samsung Electronics Hungarian Private Co. Ltd. (SEH),"83,227",229,
Samsung Electronics Benelux B.V. (SEBN),"114,569","3,363",
"Samsung Display Dongguan Co., Ltd. (SDD)","14,237",-,
Samsung Electronics Europe Logistics B.V. (SELS),"939,206","1,651",
Samsung Electronics France S.A.S (SEF),"313,893",340,
Samsung Japan Corporation (SJC),"227,020","57,762",
기타,"6,543,308","2,253,734",
종속기업 계,"23,612,525","7,724,744",
