지역,기업명,업종,지분율(%)(*)
아시아(중국 제외),Samsung Asia Pte. Ltd. (SAPL),해외자회사 관리,100.0
Samsung Electronics Singapore Pte. Ltd. (SESP),전자제품 판매,100.0,
Samsung Malaysia Electronics (SME) Sdn. Bhd. (SME),전자제품 판매,100.0,
Samsung Electronics Display (M) Sdn. Bhd. (SDMA),전자제품 생산,100.0,
Samsung Electronics (M) Sdn. Bhd. (SEMA),가전제품 생산,100.0,
"Samsung Vina Electronics Co., Ltd. (SAVINA)",전자제품 판매,100.0,
"Samsung Electronics Vietnam Co., Ltd. (SEV)",전자제품 생산,100.0,
"Samsung Electronics Vietnam THAINGUYEN Co., Ltd. (SEVT)",통신제품 생산,100.0,
"Samsung Electronics HCMC CE Complex Co., Ltd. (SEHC)",전자제품 생산 및 판매,100.0,
"Samsung Display Vietnam Co., Ltd. (SDV)",DP 생산,100.0,
PT Samsung Electronics Indonesia (SEIN),전자제품 생산 및 판매,100.0,
PT Samsung Telecommunications Indonesia (STIN),전자제품 판매 및 서비스,100.0,
"Thai Samsung Electronics Co., Ltd. (TSE)",전자제품 생산 및 판매,91.8,
"Laos Samsung Electronics Sole Co., Ltd. (LSE)",마케팅,100.0,
Samsung Electronics Philippines Corporation (SEPCO),전자제품 판매,100.0,
Samsung Electronics Australia Pty. Ltd. (SEAU),전자제품 판매,100.0,
Samsung Electronics New Zealand Limited (SENZ),전자제품 판매,100.0,
Samsung India Electronics Private Ltd. (SIEL),전자제품 생산 및 판매,100.0,
Samsung Display Noida Private Limited (SDN),DP 생산,100.0,
Samsung R&D Institute India-Bangalore Private Limited (SRI-Bangalore),R&D,100.0,
Samsung R&D Institute BanglaDesh Limited (SRBD),R&D,100.0,
"Samsung Nepal Services Pvt, Ltd. (SNSL)",서비스,100.0,
Samsung Japan Corporation (SJC),반도체ㆍDP 판매,100.0,
"Samsung R&D Institute Japan Co., Ltd. (SRJ)",R&D,100.0,
"Samsung Electronics Japan Co., Ltd. (SEJ)",전자제품 판매,100.0,
Harman Connected Services Corp. India Pvt. Ltd.,Connected Service Provider,100.0,
Harman International (India) Private Limited,"오디오제품 판매, R&D",100.0,
Harman International Industries PTY Ltd.,해외자회사 관리,100.0,
"Harman International Japan Co., Ltd.","오디오제품 판매, R&D",100.0,
Harman Singapore Pte. Ltd.,오디오제품 판매,100.0,
