지역,기업명,업종,지분율(%)(*)
아시아(중국제외),Samsung Japan(SJC),전자제품 판매,100.0
Samsung R&D Institute Japan(SRJ),R&D,100.0,
Samsung Electronics Japan(SEJ),전자제품 판매,100.0,
Samsung Electronics Display (M)(SDMA),전자제품 생산,100.0,
Samsung Electronics (M)(SEMA),가전제품 생산,100.0,
Samsung Vina Electronics(SAVINA),전자제품 판매,100.0,
Samsung Asia Private(SAPL),전자제품 판매,100.0,
Samsung India Electronics(SIEL),전자제품 생산 및 판매,100.0,
Samsung R&D Institute India-Bangalore(SRI-B),R&D,100.0,
Samsung Nepal Services(SNSL),서비스,100.0,
Samsung Electronics Australia(SEAU),전자제품 판매,100.0,
Samsung Electronics Indonesia(SEIN),전자제품 생산 및 판매,100.0,
Samsung Telecommunications Indonesia(STIN),전자제품 판매 및 서비스,100.0,
Thai Samsung Electronics(TSE),전자제품 생산 및 판매,91.8,
Samsung Electronics Philippines(SEPCO),전자제품 판매,100.0,
Samsung Malaysia Electronics(SME),전자제품 판매,100.0,
Samsung R&D Institute Bangladesh(SRBD),R&D,100.0,
Samsung Electronics Vietnam(SEV),전자제품 생산,100.0,
Samsung Electronics Vietnam THAINGUYEN(SEVT),통신제품 생산 및 판매,100.0,
Samsung Medison India(SMIN),의료기기,100.0,
Samsung Electronics New Zealand(SENZ),전자제품 판매,100.0,
Samsung Display Vietnam(SDV),디스플레이 생산,100.0,
Samsung Electronics HCMC CE Complex(SEHC),전자제품 생산 및 판매,100.0,
Laos Samsung Electronics Sole(LSE),마케팅,100.0,
AMX Products and Solutions Private,오디오제품 판매,100.0,
Harman Connected Services India,Connected Service Provider,100.0,
Harman Connected Services Technologies,Connected Service Provider,100.0,
Harman International (India) Private,"오디오제품 판매, R&D",100.0,
Harman International Industries PTY,Holding Company,100.0,
Harman International Singapore,오디오제품 판매,100.0,
Harman Malaysia Sdn. Bhd.,오디오제품 판매,100.0,
Harman Professional Singapore Pte.,오디오제품 판매,100.0,
INSP India Software Development Pvt.,소프트웨어 개발 및 공급,100.0,
Martin Professional Pte.,오디오제품 판매,100.0,
