구분,기업명(*1),매출 등,비유동자산 처분,매입 등,비유동자산 매입
관계기업 및 공동기업,삼성에스디에스㈜,"106,676",77,"1,566,150","426,799"
삼성전기㈜,"36,562",-,"1,072,949",-,
삼성SDI㈜,"54,356",272,"314,277","69,619",
㈜제일기획,"26,244",-,"620,199",-,
기타,"541,318",30,"696,055","4,360",
관계기업 및 공동기업 계,"765,156",379,"4,269,630","500,778",
그 밖의특수관계자,삼성물산㈜,"87,844",-,"151,612","3,491,244"
기타,"264,426",-,"535,448","84,663",
그 밖의 특수관계자 계,"352,270",-,"687,060","3,575,907",
기타(*2),삼성엔지니어링㈜,"3,906",-,"43,472","1,614,571"
㈜에스원,"10,933",-,"374,209","33,340",
기타,"79,524",-,"202,874",799,
기타 계,"94,363",-,"620,555","1,648,710",
