과 목,제 53 (당) 기,,제 52 (전) 기,
Ⅰ. 미처분이익잉여금,,"23,614,523",,"8,401,233"
1. 전기이월이익잉여금,30,,30,
"2. 분기배당 주당배당금(률) 제53기 - 1,083원(1083%) 제52기 - 1,062원(1062%)","(7,356,461)",,"(7,213,815)",
3. 당기순이익,"30,970,954",,"15,615,018",
Ⅱ. 임의적립금 등의 이입액,,-,,"4,723,057"
1. 기업합리화적립금,-,,"4,723,057",
Ⅲ. 이익잉여금처분액,,"23,614,493",,"13,124,260"
"1. 배당금 주당배당금(률) 제53기 - 보통주: 361원(361%) 우선주: 362원(362%) 제52기 - 보통주: 1,932원(1932%) 우선주: 1,933원(1933%)","2,452,976",,"13,124,260",
2. 연구및인력개발준비금,"21,161,517",,-,
Ⅳ. 차기이월미처분이익잉여금,,30,,30
